participant_id,style_preferences,style_vibes,comfort,style,practicality,trends,brand,self_expression,sustainability,price,color_importance,importance_vec,purchase_frequency,monthly_spend,best_colors,clothing_feel
a1,I tend to have a minimal style with plain T-shirts or button up shirts with simple patterns. During colder seasons I tend to layer with plain hoodies or jackets. ,"Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",5,5,3,2,2,4,2,4,5,"[5, 5, 3, 2, 2, 4, 2, 4, 5]",Quarterly,$101 - $200,"Red, Beige, Black",Confident and Comfortable
a2,"Comfortable and casual style (shirts, sweatpants, sneakers)","Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Classic - Timeless cuts and colors, traditional",5,5,4,2,4,4,3,4,5,"[5, 5, 4, 2, 4, 4, 3, 4, 5]",Monthly,$50 - $100,"Light colors with a pastel touch, including beige and ivory",Comfortable and confident
a3,"casual style, T-shirt, jeans, trench coat","Casual - Everyday wear, laid-back, basic staples, Business Casual - Office-appropriate, structured but not formal, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",4,4,3,3,3,2,2,3,4,"[4, 4, 3, 3, 3, 2, 2, 3, 4]",Quarterly,$101 - $200,"Black, grey","Comfortable, relaxing, a little stylish"
a4,"Along the lines of Minimalist Streetwear or K fashion. Usually black jeans or slacks in the winter, shorts with belt loops in the summer. The top I usually go turtleneck, tshirt, dress shirt + wool top, etc. Often monochrome.","Streetwear - Trend-driven, urban, sneakers, oversized fits, Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Business Casual - Office-appropriate, structured but not formal, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",3,5,4,2,1,3,1,5,4,"[3, 5, 4, 2, 1, 3, 1, 5, 4]",Quarterly,$50 - $100,"Black, White, Beige",Confident
a5,"Comfort, usability, basic-style","Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Techwear - Futuristic, utilitarian, function-oriented",5,4,4,1,1,1,4,3,3,"[5, 4, 4, 1, 1, 1, 4, 3, 3]",Yearly,< $50,Black,Unconstraint
a6,I prefer classic style clothes and shoes.,"Business Casual - Office-appropriate, structured but not formal",5,3,5,1,2,5,4,4,3,"[5, 3, 5, 1, 2, 5, 4, 4, 3]",Quarterly,< $50,black,I want my clothes to make me feel confident and safe.
a7,simple and casual,"Chic - Elegant, polished, often minimalist",5,5,4,1,2,3,3,3,2,"[5, 5, 4, 1, 2, 3, 3, 3, 2]",Quarterly,$50 - $100,Green,Comfortable and elegant.
a8,"Comfortable, Sweat-wicking. Stretchy, casual","Chic - Elegant, polished, often minimalist, Casual - Everyday wear, laid-back, basic staples, Sporty / Athleisure - Athletic-inspired, leggings, sneakers, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",5,4,4,1,2,1,1,3,4,"[5, 4, 4, 1, 2, 1, 1, 3, 4]",Yearly,$50 - $100,"Grey, blue, black, ",Comfortable
a9,Everyday clothing,"Preppy - Clean-cut, collegiate, often includes polos, blazers, Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Classic - Timeless cuts and colors, traditional",4,3,3,2,2,4,2,3,4,"[4, 3, 3, 2, 2, 4, 2, 3, 4]",Quarterly,$50 - $100,"Black, blue, grey",feel comfortable and light
a10,"Causal, monotones","Streetwear - Trend-driven, urban, sneakers, oversized fits, Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Business Casual - Office-appropriate, structured but not formal",4,4,3,4,3,4,1,2,2,"[4, 4, 3, 4, 3, 4, 1, 2, 2]",Quarterly,$301 - $400,beige ,"presentable, confident"
s1,"I prefer a practical and polished casual style that balances comfort, function, and subtle aesthetics. ","Casual - Everyday wear, laid-back, basic staples",5,3,4,1,1,2,4,1,5,"[5, 3, 4, 1, 1, 2, 4, 1, 5]",Yearly,$50 - $100,deep green,energetic
s2,"Modern, Young Adults, Asian styles (Popular among Korean/Chinese), Oversized and never super tight shirts or pants (cuz I'm skinny); Not too plain, maybe with simple decorations or brand logos, occasionally wearing complex patterns","Chic - Elegant, polished, often minimalist, Streetwear - Trend-driven, urban, sneakers, oversized fits, Casual - Everyday wear, laid-back, basic staples, Minimalist - Simple cuts, neutral tones, low ornamentation, Business Casual - Office-appropriate, structured but not formal, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",4,5,3,3,4,5,2,3,5,"[4, 5, 3, 3, 4, 5, 2, 3, 5]",Quarterly,$101 - $200,Black,"Confident, Attractive"
s3,"Casual & Effortless. I usually wear loose jeans, oversized sweaters or t-shirts, and sneakers or boots. I like earthy tones and soft fabrics, and I often build my outfit around how I feel that day.","Streetwear - Trend-driven, urban, sneakers, oversized fits, Casual - Everyday wear, laid-back, basic staples, Y2K - 2000s nostalgia, playful, low-rise, shiny materials, Business Casual - Office-appropriate, structured but not formal, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",5,4,3,3,3,4,2,4,4,"[5, 4, 3, 3, 3, 4, 2, 4, 4]",Monthly,$201 - $300,Black White Grey Baby blue Pink,"I want my clothes to make me feel comfortable, relaxed, and like myself. I don’t like outfits that feel too stiff or overdone. I prefer clothes that I can move freely in and that reflect my everyday lifestyle. Whether I’m out running errands or meeting up with friends, I want my outfit to feel effortless but still put-together. Comfort is key, but I also want to feel confident and at ease in what I’m wearing."
s4,"More of a professional look, but the clothing colors must not be too dark","Preppy - Clean-cut, collegiate, often includes polos, blazers, Casual - Everyday wear, laid-back, basic staples, Business Casual - Office-appropriate, structured but not formal, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",2,2,2,1,1,2,2,2,3,"[2, 2, 2, 1, 1, 2, 2, 2, 3]",Yearly,< $50,Potentially pink,Comfortable
s5,"Little everywhere - elevated casual/cottagecore/dark academia, ranging from masc to hyperfem","Chic - Elegant, polished, often minimalist, Preppy - Clean-cut, collegiate, often includes polos, blazers, Streetwear - Trend-driven, urban, sneakers, oversized fits, Casual - Everyday wear, laid-back, basic staples, Classic - Timeless cuts and colors, traditional",5,4,5,2,1,5,4,5,4,"[5, 4, 5, 2, 1, 5, 4, 5, 4]",Quarterly- but thrifted only,< $50,Burgundy and dark browns,Powerful and comfortable (somedays cool and some pretty)
s6,"I love a simple and elegant style with a feminine, ladylike touch. ","Chic - Elegant, polished, often minimalist",4,5,4,3,4,4,3,3,4,"[4, 5, 4, 3, 4, 4, 3, 3, 4]",Monthly,$101 - $200,White,"I want my clothes to make me feel confident, with presence and elegance. I hope my outfits catch people’s attention"
s7,"Oversize, cleanfit","Preppy - Clean-cut, collegiate, often includes polos, blazers, Casual - Everyday wear, laid-back, basic staples, Sporty / Athleisure - Athletic-inspired, leggings, sneakers, Minimalist - Simple cuts, neutral tones, low ornamentation, Cozy / Loungewear - Comfortable, soft fabrics, homey feel, Techwear - Futuristic, utilitarian, function-oriented",4,4,4,2,2,4,4,3,4,"[4, 4, 4, 2, 2, 4, 4, 3, 4]",Quarterly,$50 - $100,"black, warm white",comfortable not also handsome
s8,Casual and Comfortable,"Casual - Everyday wear, laid-back, basic staples, Sporty / Athleisure - Athletic-inspired, leggings, sneakers, Business Casual - Office-appropriate, structured but not formal, Cozy / Loungewear - Comfortable, soft fabrics, homey feel",5,4,4,2,2,2,1,3,5,"[5, 4, 4, 2, 2, 2, 1, 3, 5]",Quarterly,< $50,black and white,comfortable
s9,"I prefer a simple and clean aesthetic. I care a lot about how an outfit aligns with the overall environment or setting—it should feel consistent and intentional. While I do enjoy incorporating color into my outfits, I’m not a fan of excessive or overly decorative designs. For me, the cut and texture of the clothing matter more than flashy details. A well-structured silhouette and thoughtful fabric choice can elevate even the most minimal pieces.","Chic - Elegant, polished, often minimalist, Preppy - Clean-cut, collegiate, often includes polos, blazers, Minimalist - Simple cuts, neutral tones, low ornamentation, Business Casual - Office-appropriate, structured but not formal",3,4,4,1,4,4,3,3,4,"[3, 4, 4, 1, 4, 4, 3, 3, 4]",Biweekly,$301 - $400,"Green, Black, Blue","I want my clothes to make me feel sincere, straightforward, and efficient. They should reflect who I am without trying too hard—something that feels natural and true to myself. I value comfort and function, but also the quiet confidence that comes from wearing something that aligns with my identity."
s10,Clean Cloth with unique design.,"Sporty / Athleisure - Athletic-inspired, leggings, sneakers, Minimalist - Simple cuts, neutral tones, low ornamentation, Classic - Timeless cuts and colors, traditional",5,3,5,2,2,5,3,3,5,"[5, 3, 5, 2, 2, 5, 3, 3, 5]",Quarterly,$101 - $200,"Black, blue, and white.",Clean.
